Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Chefinho,NFCDCH-MC-F2GX3FNGKLEKQTVP3UR382DQTKC7JU,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
Chefinho,NFCDCH-01-EUWHKPNNJ7MAA3XA2LA7E3FVL1FG7D,Chrome OS (Cadmium),,,,,,,,,
Chefinho,NFCDSF-01-ECJW8QT8C85R0AV01MD379VF6W8YXG,Safari MAC (Cadmium),,,,,,,,,
Chefinho,NFANDROID1-PRV-P-L3-MOTORMOTO=X=PLAY-4445-0BBF5ADFABBA6D5AA4267FF0554E1215F96E888B3FD36A15A4119CAA3F7398561,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Chefinho,NFANDROID1-PRV-T-L3-SAMSUSM-P355M-4445-0D0901CE5BAEF4AC3E165166CB3CC4FBB32E6C04A7AC5D9D505DB574167F10203,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
Chefinho,NFAPPL-02-IPHONE8=1-5F66FFB8C83AB807C95A109EA27EFE6F309E514A193F366BDA6B1F9EEAE809A5,Apple iPhone 6s,,,,,,,,,
Chefinho,NFAPPL-02-IPHONE9=3-7C380B4DE310FD1CAB338E6B06629FEF574F9AAA069BB5CB40464DCFFFEEFC99,Apple iPhone 7 (GSM),,,,,,,,,
Chefinho,NFCDCH-MC-DLQXVTG93K8NDU9LQX645RN8V7UY5M,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
Chefinho,NFAPPL-01-IPAD7=3-49D918B98858D0E54F60845E289FFEC3023F137E57C02DE55FEF8B05443E4CBE,iPad Pro 10.5-Inch (Wi-Fi),,,,,,,,,
Chefinho,NFAPPL-02-IPHONE8=4-F8E9D388BE4FD7F7E4B343325068F8A12521921C701045FB88AB7FC6851D52D4,iPhone SE,,,,,,,,,
Chefinho,NFCDCH-01-DE3L2M904QTWD7XLD5APGXTF88U25F,Chrome OS (Cadmium),,,,,,,,,
Chefinho,NFANDROID1-PRV-T-L3-SAMSUSM-P355M-5536-E29485AE0350A607AA49034C36E39A82AF5D722EE35C6DCFDB191B1D7689D324,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
Chefinho,NFCDCH-01-D1A8RZ0PLQA8G7CRVHV1K0JHUJ86V5,Chrome OS (Cadmium),,,,,,,,,
Chefinho,NFCDCH-01-AUQNVTKAHEAY6GG79HVW5RE3T7MA4T,Chrome OS (Cadmium),,,,,,,,,
Chefinho,NFANDROID1-SAMSUSM-P355MS-AAC4B215CA4810A6F929F671D79AE8AC1226F2F8752A2F21DA2CBB60C19951D6,Mobile,,,,,,,,,
Chefinho,NFANDROID1-PRV-P-MOTORXT1097-5368-76875CEA943BA5ADBDDCC95BC5EE0C5E0F576D055234B1B60C4BB7FCDFAF9ACD,DefaultWidevineAndroidPhone,,,,,,,,,
Chefinho,NFANDROID1-SAMSUGALAXY=NEXUSS-2DD1C65EA3DF49F90B6BF63811CA26A2E0C77F1ECB334D2B238EDDDBC03A1AF0,Mobile,,,,,,,,,
Chefinho,NFANDROID1-MOTORXT1058S-B16A76440F942F2D8D63B74BD676ACF8A866F40C419846AFCA4CBD29E02522D1,Mobile,,,,,,,,,
Chefinho,NFAPPL-02-IPHONE6=2-6031A363DACC4D9371D4FB39C5F2226D7A35CBB0199D27ADDD63403C4E7BD6D0,iPhone 5S CDMA,,,,,,,,,
Chefinho,NFCDCH-01-IZVUPRJEFYY4GUNZXUI7BAUEK5OLNFBSZTZDAUSNU6KMJRMNO56A,Chrome OS (Cadmium),,,,,,,,,
Chefinho,NFANDROID1-SAMSUGT-P3110S-E61877B944134BA45407FFAF89CD68969459E27EF6EEB23AFB5B3527665BEDCA,Mobile,,,,,,,,,
Chefinho,NFCDCH-01-KMY764HJYGFTSRBOU23IURKXBEZRY3GVPL2FRW3XDIUKXP6KZ2EA,Chrome OS (Cadmium),,,,,,,,,
Chefinho,NFANDROID1-ASUS=TRANSFORMER=TF101S-C8B7B55E4DF346ECCC3884F244B6CC7650760D23C6576820F812F503762F0B46,Mobile,,,,,,,,,
Chefinho,NFAPPL-01-IPAD1=1-A3614677FFA507A7B3EF41619754BEBE78B798DC3B64E89AEFC14513EA96E5E4,Apple iPad,,,,,,,,,
Chefinho,NFAPPL-02-IPHONE3=1-AA0A79DDED6CF35D4782079EE85B3AB48C5D76F2DBFDE63A9616356B6BD6B15A,Apple iPhone 4 with GSM,,,,,,,,,
Chefinho,NFANDROID1-SAMSUGT-P3110S-65DA9E5FF26DB2810C54A3595B0A5990F17C125D3B754FAF3B3551660CE79B0E,Mobile,,,,,,,,,
Chefinho,SLMAC-RMXN8MMAEN9V9NC9W03UG6YFNH,Mac,,,,,,,,,
Chefinho,SLMAC-88W58MJL75YHMFGVNJVT2Z53RR,Mac,,,,,,,,,
Chefinho,NFCDSF-01-JADGLJ6XYYAK2EFTMVCMYW6D64NAHL,Safari MAC (Cadmium),2022-06-12T19:31:28.406Z,2022-06-12T19:31:28.406Z,,,2022-06-12T19:31:28.406Z,2022-06-12T19:31:28.406Z,,,2022-06-12T19:36:49.000Z
