Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Juliana,NFANDROID1-PRV-P-L3-MOTORXT1058-4445-0D1208DEB64F6F9E7877A9B3FE5B3EAE74DED9DCB8E649C854C662A91291A3B3E,Android DefaultWidevineL3Phone Android Phone,2022-03-07T21:53:15.678Z,2022-07-06T16:58:35.644Z,2022-03-07T21:53:15.678Z,2022-07-06T16:58:35.644Z,,,,,
Deanna,NFANDROID1-PRV-P-L3-MOTORXT1058-4445-0D1208DEB64F6F9E7877A9B3FE5B3EAE74DED9DCB8E649C854C662A91291A3B3E,Android DefaultWidevineL3Phone Android Phone,2022-03-07T21:53:15.678Z,2022-07-06T16:58:35.644Z,2022-03-07T21:53:15.678Z,2022-07-06T16:58:35.644Z,,,,,
CECI,NFANDROID1-PRV-P-L3-MOTORXT1058-4445-0D1208DEB64F6F9E7877A9B3FE5B3EAE74DED9DCB8E649C854C662A91291A3B3E,Android DefaultWidevineL3Phone Android Phone,2022-03-07T21:53:15.678Z,2022-07-06T16:58:35.644Z,2022-03-07T21:53:15.678Z,2022-07-06T16:58:35.644Z,,,,,
CECI,LGTV20182=21001272364,LG 2018 LG M16PP UHD TV Smart TV,2019-04-27T19:58:13.918Z,2022-09-15T17:42:56.008Z,2019-07-30T12:48:57.479Z,2022-09-15T17:42:56.008Z,2019-04-27T19:58:13.918Z,2022-08-22T20:06:35.158Z,2019-07-30T12:48:57.479Z,2022-08-22T20:06:35.158Z,
Chefinho,NFAPPL-02-IPHONE6=2-524BBBE6FB636E3A03BC6D236CE1B978AF04C7157E33DC7067C7CF3E2A0A32DE,iPhone 5S CDMA,2022-03-13T19:37:04.220Z,2022-08-20T08:24:36.030Z,2022-03-13T19:37:04.220Z,2022-03-13T19:37:04.220Z,2022-08-20T08:23:05.126Z,2022-08-20T08:24:36.030Z,,,
Chefinho,GOOGEAR0010000000000000037632374,Google Chromecast V3 Streaming Stick,2021-10-12T20:35:58.169Z,2022-08-09T19:11:41.478Z,2021-10-12T20:35:58.169Z,2022-08-09T19:11:41.478Z,2021-10-12T20:35:58.169Z,2022-08-09T19:11:41.478Z,2021-10-12T20:35:58.169Z,2022-08-09T19:11:41.478Z,
Deanna,LGTV20182=21001272364,LG 2018 LG M16PP UHD TV Smart TV,2019-04-27T19:58:13.918Z,2022-09-15T17:42:56.008Z,2019-07-30T12:48:57.479Z,2022-09-15T17:42:56.008Z,2020-04-19T18:00:07.092Z,2022-07-31T17:58:09.198Z,2020-11-22T23:33:39.852Z,2022-07-31T17:58:09.198Z,
Lourenço,LGTV20182=21001272364,LG 2018 LG M16PP UHD TV Smart TV,2019-04-27T19:58:13.918Z,2022-09-15T17:42:56.008Z,2019-07-30T12:48:57.479Z,2022-09-15T17:42:56.008Z,,,,,
Chefinho,NFANDROID2-PRV-2K18FHDATV-TCL==UNIONTV-8204-F291F94AC1DA55A7CF72B07A8F2FF7A447AAC002FB0D4881186BAAE3DC455B79,TCL 2K18 FHD UnionTV Smart TV,2020-08-19T22:14:10.121Z,2022-07-17T01:47:34.659Z,2020-09-27T18:46:47.672Z,2022-07-17T01:47:34.659Z,2020-08-19T22:14:10.121Z,2022-07-17T01:47:34.659Z,2020-09-27T18:46:47.672Z,2022-07-17T01:47:34.659Z,
Chefinho,NFANDROID1-PRV-P-L3-MOTORXT1058-4445-0D1208DEB64F6F9E7877A9B3FE5B3EAE74DED9DCB8E649C854C662A91291A3B3E,Android DefaultWidevineL3Phone Android Phone,2022-03-07T21:53:15.678Z,2022-07-06T16:58:35.644Z,2022-03-07T21:53:15.678Z,2022-07-06T16:58:35.644Z,2022-03-07T21:53:15.678Z,2022-07-06T16:58:35.644Z,2022-03-07T21:53:15.678Z,2022-07-06T16:58:35.644Z,
