Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Chefinho,BR,HTML 5,0,matthew fox,Vantage Point,add,title_results,2022-01-29 12:25:11
Chefinho,BR,HTML 5,0,paranoia,,add,title_results,2022-01-29 12:04:03
Chefinho,BR,HTML 5,0,o lobo atras da porta,A Wolf at the Door,play,title_results,2022-01-29 12:01:51
Chefinho,BR,HTML 5,0,um lugar silencioso,A Quiet Place,add,title_results,2022-01-29 12:00:33
Chefinho,BR,HTML 5,0,vigilante,A Vigilante,add,title_results,2022-01-29 11:59:43
Chefinho,BR,iPhone,0,social dilema,The Social Dilemma,select,title_results,2022-01-24 23:11:06
Chefinho,BR,iPhone,0,malena,MILF,select,title_results,2022-01-22 16:42:18
Chefinho,BR,iPhone,0,malena,London Fields,select,title_results,2022-01-22 16:41:50
Chefinho,BR,iPhone,0,malena,Unfaithful,select,title_results,2022-01-22 16:41:33
Chefinho,BR,iPad,0,scream,The Rite,select,title_results,2022-01-16 11:09:08
Chefinho,BR,iPad,0,scream,The Babysitter,select,title_results,2022-01-16 11:08:50
Chefinho,BR,iPad,0,scream,,select,title_results,2022-01-16 11:08:23
Chefinho,BR,iPad,0,scream,,select,title_results,2022-01-16 11:07:41
Chefinho,BR,iPad,0,fright ,Fright Night,select,title_results,2022-01-14 16:06:01
Chefinho,BR,iPhone,0,liam neesam,Cellular,select,title_results,2022-01-13 17:00:25
Chefinho,BR,iPhone,0,liam neesam,Run All Night,select,title_results,2022-01-13 17:00:07
Chefinho,BR,iPhone,0,liam neesam,Non-Stop,select,title_results,2022-01-13 16:59:45
Chefinho,BR,iPhone,0,liam neesam,Sleepless,select,title_results,2022-01-13 16:59:27
Chefinho,BR,iPhone,0,liam neesam,Man on Fire,select,title_results,2022-01-13 16:59:05
Chefinho,BR,iPhone,0,liam neesam,Wanted,select,title_results,2022-01-13 16:58:45
Chefinho,BR,iPhone,0,da vi,The Da Vinci Code,select,title_results,2022-01-10 21:05:12
Chefinho,BR,Android Phone,0,whiplash,The Da Vinci Code,select,title_results,2022-01-10 21:02:49
Chefinho,BR,Android Phone,0,whiplash,The Da Vinci Code,select,title_results,2022-01-10 21:02:00
Chefinho,BR,iPhone,0,jude law,The Stepfather,select,title_results,2021-12-29 10:51:12
Chefinho,BR,iPhone,0,jude law,One Day,select,title_results,2021-12-29 10:50:43
Chefinho,BR,iPhone,0,jude law,Lemony Snicket's A Series of Unfortunate Events,select,title_results,2021-12-29 10:49:54
Chefinho,BR,iPhone,0,jude law,King Arthur: Legend of the Sword,select,title_results,2021-12-29 10:49:23
Chefinho,BR,iPhone,0,jude law,The Holiday,select,title_results,2021-12-29 10:49:00
Chefinho,BR,iPhone,0,jude law,Closer,select,title_results,2021-12-29 10:48:32
Chefinho,BR,iPhone,0,jude law,The Danish Girl,select,title_results,2021-12-29 10:48:08
Chefinho,BR,iPhone,0,jude law,Anon,select,suggestion_results,2021-12-29 10:47:37
Chefinho,BR,iPhone,0,jude law,The Ugly Truth,select,suggestion_results,2021-12-29 10:46:59
Chefinho,BR,iPhone,0,jude law,,select,suggestion_results,2021-12-29 10:46:21
Chefinho,BR,Android Phone,0,the cove,The Expendables 3,select,title_results,2021-12-20 09:01:14
Chefinho,BR,Android Phone,0,the cove,Twilight,select,title_results,2021-12-20 08:44:08
Chefinho,BR,Android Phone,0,the cove,The Devil All The Time,select,title_results,2021-12-20 08:43:45
Chefinho,BR,Android Phone,0,dark ,A Knight's Tale,add,title_results,2021-12-20 08:42:35
Chefinho,BR,Android Phone,0,dark ,A Knight's Tale,select,title_results,2021-12-20 08:42:22
Chefinho,BR,Android Phone,0,dark ,Addicted,add,title_results,2021-12-20 08:42:17
Chefinho,BR,Android Phone,0,dark ,Addicted,select,title_results,2021-12-20 08:42:05
Chefinho,BR,Android Phone,0,dark ,Don't Breathe,add,title_results,2021-12-20 08:41:48
Chefinho,BR,Android Phone,0,dark ,Don't Breathe,select,title_results,2021-12-20 08:41:21
Chefinho,BR,Android Phone,0,dark ,,add,title_results,2021-12-20 08:40:42
Chefinho,BR,Android Phone,0,dark ,,select,title_results,2021-12-20 08:40:36
Chefinho,BR,Android Phone,0,nazi,Munich – The Edge of War,select,title_results,2021-12-20 08:39:00
Chefinho,BR,Android Phone,0,explained,,add,title_results,2021-12-20 08:36:24
Chefinho,BR,Android Phone,0,explained,,select,title_results,2021-12-20 08:36:19
Chefinho,BR,Android Phone,0,explained,,select,title_results,2021-12-20 08:36:04
Chefinho,BR,Android Phone,0,explained,,select,title_results,2021-12-20 08:35:51
Chefinho,BR,Android Phone,0,earthings,365 Days,select,title_results,2021-12-20 08:34:33
Chefinho,BR,Android Phone,0,earthings,,select,title_results,2021-12-20 08:33:53
Chefinho,BR,Android Phone,0,earthings,Passengers,select,title_results,2021-12-20 08:33:33
Chefinho,BR,Android Phone,0,earthings,Unfaithful,add,title_results,2021-12-20 08:33:30
Chefinho,BR,Android Phone,0,earthings,Unfaithful,select,title_results,2021-12-20 08:33:29
Chefinho,BR,Android Phone,0,earthings,,select,title_results,2021-12-20 08:33:10
Chefinho,BR,Android Phone,0,earthings,,add,title_results,2021-12-20 08:33:06
Chefinho,BR,Android Phone,0,earthings,,select,title_results,2021-12-20 08:33:05
Chefinho,BR,Android Phone,0,dangerous,The Punisher,add,title_results,2021-12-20 08:32:15
Chefinho,BR,Android Phone,0,dangerous,The Punisher,select,title_results,2021-12-20 08:32:06
Chefinho,BR,Android Phone,0,dangerous,Gone Girl,select,title_results,2021-12-20 08:31:53
Chefinho,BR,Android Phone,0,dangerous,Inside Man,select,title_results,2021-12-20 08:31:45
Chefinho,BR,Android Phone,0,dangerous,,select,title_results,2021-12-20 08:31:27
Chefinho,BR,Android Phone,0,dangerous,When the Bough Breaks,add,title_results,2021-12-20 08:31:21
Chefinho,BR,Android Phone,0,dangerous,When the Bough Breaks,select,title_results,2021-12-20 08:31:11
Chefinho,BR,Android Phone,0,dangerous,Unfaithful,select,title_results,2021-12-20 08:30:57
Chefinho,BR,Android Phone,0,dangerous,Unforgettable,add,title_results,2021-12-20 08:30:53
Chefinho,BR,Android Phone,0,dangerous,Unforgettable,select,title_results,2021-12-20 08:30:42
Chefinho,BR,Android Phone,0,dangerous,Ma,select,title_results,2021-12-20 08:30:24
Chefinho,BR,Android Phone,0,dangerous,Fatal Affair,select,title_results,2021-12-20 08:30:07
Chefinho,BR,Android Phone,0,paradise,,select,title_results,2021-12-20 08:28:37
Chefinho,BR,Android Phone,0,paradise,Paradise Lost,select,title_results,2021-12-20 08:27:40
Chefinho,BR,Android Phone,0,black,The Hurt Locker,add,title_results,2021-12-20 08:26:39
Chefinho,BR,Android Phone,0,black,The Hurt Locker,select,title_results,2021-12-20 08:26:27
