Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Chefinho,"Oscar's Oasis: Season 1: ""Winning Ticket / Collector Mania / Lucked Out / Firefly Flash!""",FireTV 4K Stick 2018,2022-09-03 14:05:48,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":836000},{""eventType"":""playing"",""sessionOffsetMs"":2574,""mediaOffsetMs"":836000},{""eventType"":""paused"",""sessionOffsetMs"":819862,""mediaOffsetMs"":1652803},{""eventType"":""stopped"",""sessionOffsetMs"":822901,""mediaOffsetMs"":1651776}]"
Chefinho,Act 2 Conflict Clip: Spiderhead,FireTV 4K Stick 2018,2022-09-03 14:05:41,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3011,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3198,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4717,""mediaOffsetMs"":84}]"
Chefinho,"Oscar's Oasis: Season 1: ""Winning Ticket / Collector Mania / Lucked Out / Firefly Flash!""",FireTV 4K Stick 2018,2022-09-03 14:05:36,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":836000},{""eventType"":""playing"",""sessionOffsetMs"":3624,""mediaOffsetMs"":836000},{""eventType"":""paused"",""sessionOffsetMs"":5481,""mediaOffsetMs"":837278},{""eventType"":""stopped"",""sessionOffsetMs"":7073,""mediaOffsetMs"":837543}]"
Chefinho,RRR_hook_02_16x9,FireTV 4K Stick 2018,2022-09-03 14:05:31,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2650,""mediaOffsetMs"":0}]"
Chefinho,RRR_hook_02_16x9,FireTV 4K Stick 2018,2022-09-03 14:05:29,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2871,""mediaOffsetMs"":0}]"
Chefinho,No Man of God_hook_01_16x9,FireTV 4K Stick 2018,2022-09-03 12:50:38,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2390,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":13701,""mediaOffsetMs"":10103},{""eventType"":""stopped"",""sessionOffsetMs"":15536,""mediaOffsetMs"":11372}]"
Chefinho,Limited Series Sensory Clip: How to Change Your Mind,FireTV 4K Stick 2018,2022-09-03 12:49:33,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2228,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":64366,""mediaOffsetMs"":62152},{""eventType"":""stopped"",""sessionOffsetMs"":65633,""mediaOffsetMs"":61861}]"
Chefinho,Season 1 Trailer: History 101,FireTV 4K Stick 2018,2022-09-03 12:49:19,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2730,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":14568,""mediaOffsetMs"":11877},{""eventType"":""stopped"",""sessionOffsetMs"":16822,""mediaOffsetMs"":11482}]"
Chefinho,Season 1 Cliffhanger Clip: 3 Tonelada$: Assalto ao Banco Central,FireTV 4K Stick 2018,2022-09-03 12:49:11,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2769,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":8074,""mediaOffsetMs"":5355},{""eventType"":""stopped"",""sessionOffsetMs"":10340,""mediaOffsetMs"":5160}]"
Chefinho,Genre Specific Moment Clip: The Bombardment,FireTV 4K Stick 2018,2022-09-03 12:48:25,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2471,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":45796,""mediaOffsetMs"":43333},{""eventType"":""stopped"",""sessionOffsetMs"":47026,""mediaOffsetMs"":43027}]"
