Profile Name,Show,Has Watched,Is Interested,Event Date
Lourenço,Stranger Things,true,false,2017-12-17
Lourenço,The Walking Dead,true,false,2017-12-17
Lourenço,Rick and Morty,true,false,2017-12-17
