Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Lourenço,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Sneak,false,tvui,2019-04-20 04:14:56
Lourenço,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Follow River,false,tvui,2019-04-20 04:12:54
Lourenço,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Grappling Hook,false,tvui,2019-04-20 04:10:39
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Threaten him with sword,false,tvui,2021-09-12 18:55:33
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Your friend hurt my pig.,false,tvui,2021-09-12 18:52:25
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,I’m cool if he is.,false,tvui,2021-09-12 18:50:27
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,I’m Jesse.,false,tvui,2021-09-12 18:49:14
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Proud of you.,false,tvui,2021-09-12 18:47:49
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Jump,false,tvui,2021-09-12 18:45:19
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Craft Sword,false,tvui,2021-09-12 18:43:40
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,I’m all in.,false,tvui,2021-09-12 18:42:45
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,"Run, I’ll distract them.",false,tvui,2021-09-12 18:40:34
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Tall Grass,false,tvui,2021-09-12 18:38:59
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Smoke Trail,false,tvui,2021-09-12 18:38:32
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Warrior Whip,false,tvui,2021-09-12 18:35:41
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,We’re going to crush you.,false,tvui,2021-09-12 18:34:35
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,We’re the Order of the Pig.,false,tvui,2021-09-12 18:32:21
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Enderman,false,tvui,2021-09-12 18:27:40
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Gabriel is awesome.,false,tvui,2021-09-12 18:26:00
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,"Not funny, Axel.",false,tvui,2021-09-12 18:23:42
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Chicken-sized zombies,false,tvui,2021-09-12 18:22:06
CECI,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Female Jesse,false,tvui,2021-09-12 18:19:23
