Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2021-07-15,2021-07-15,2021-08-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,NEW,SETTLED,BR,2021-08-15
2021-07-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,NEW,,BR,
2021-06-15,2021-06-15,2021-07-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-07-15
2021-06-15,2021-06-15,2021-07-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,NEW,SETTLED,BR,2021-07-15
2021-06-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,NEW,,BR,
2021-06-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-05-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,DECLINED,,BR,
2021-05-15,2021-05-15,2021-06-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,DECLINED,RECOVERY,BR,2021-06-15
2021-05-15,2021-05-15,2021-06-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,RECOVERY,BR,2021-06-15
2021-05-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-05-14,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,DECLINED,,BR,
2021-05-12,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,DECLINED,,BR,
2021-05-10,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,DECLINED,,BR,
2021-05-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,DECLINED,,BR,
2021-05-08,2021-05-08,2021-06-07,SUBSCRIPTION,VISA,6709,,CIELO,45.9,BRL,5.16,45.9,SALE,APPROVED,REVERSAL,BR,2021-06-08
2021-05-08,2021-05-08,2021-06-07,SUBSCRIPTION,VISA,6709,,CIELO,45.9,BRL,5.16,45.9,SALE,DECLINED,REVERSAL,BR,2021-06-08
2021-04-08,2021-04-08,2021-05-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-05-08
2021-04-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-03-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
